"","Survived","Pclass","Sex","Age","Embarked","TamFamilia"
"1",0,"3","male",22,"S",2
"2",1,"1","female",38,"C",2
"3",1,"3","female",26,"S",1
"4",1,"1","female",35,"S",2
"5",0,"3","male",35,"S",1
"6",0,"3","male",21,"Q",1
"7",0,"1","male",54,"S",1
"8",0,"3","male",2,"S",5
"9",1,"3","female",27,"S",3
"10",1,"2","female",14,"C",2
"11",1,"3","female",4,"S",3
"12",1,"1","female",58,"S",1
"13",0,"3","male",20,"S",1
"14",0,"3","male",39,"S",7
"15",0,"3","female",14,"S",1
"16",1,"2","female",55,"S",1
"17",0,"3","male",2,"Q",6
"18",1,"2","male",34,"S",1
"19",0,"3","female",31,"S",2
"20",1,"3","female",20,"C",1
"21",0,"2","male",35,"S",1
"22",1,"2","male",34,"S",1
"23",1,"3","female",15,"Q",1
"24",1,"1","male",28,"S",1
"25",0,"3","female",8,"S",5
"26",1,"3","female",38,"S",7
"27",0,"3","male",30,"C",1
"28",0,"1","male",19,"S",6
"29",1,"3","female",26,"Q",1
"30",0,"3","male",33,"S",1
"31",0,"1","male",40,"C",1
"32",1,"1","female",23,"C",2
"33",1,"3","female",22,"Q",1
"34",0,"2","male",66,"S",1
"35",0,"1","male",28,"C",2
"36",0,"1","male",42,"S",2
"37",1,"3","male",20,"C",1
"38",0,"3","male",21,"S",1
"39",0,"3","female",18,"S",3
"40",1,"3","female",14,"C",2
"41",0,"3","female",40,"S",2
"42",0,"2","female",27,"S",2
"43",0,"3","male",33,"C",1
"44",1,"2","female",3,"C",4
"45",1,"3","female",19,"Q",1
"46",0,"3","male",24,"S",1
"47",0,"3","male",30,"Q",2
"48",1,"3","female",22,"Q",1
"49",0,"3","male",24,"C",3
"50",0,"3","female",18,"S",2
"51",0,"3","male",7,"S",6
"52",0,"3","male",21,"S",1
"53",1,"1","female",49,"C",2
"54",1,"2","female",29,"S",2
"55",0,"1","male",65,"C",2
"56",1,"1","male",40,"S",1
"57",1,"2","female",21,"S",1
"58",0,"3","male",28.5,"C",1
"59",1,"2","female",5,"S",4
"60",0,"3","male",11,"S",8
"61",0,"3","male",22,"C",1
"62",1,"1","female",38,"S",1
"63",0,"1","male",45,"S",2
"64",0,"3","male",4,"S",6
"65",0,"1","male",45.5,"C",1
"66",1,"3","male",4,"C",3
"67",1,"2","female",29,"S",1
"68",0,"3","male",19,"S",1
"69",1,"3","female",17,"S",7
"70",0,"3","male",26,"S",3
"71",0,"2","male",32,"S",1
"72",0,"3","female",16,"S",8
"73",0,"2","male",21,"S",1
"74",0,"3","male",26,"C",2
"75",1,"3","male",32,"S",1
"76",0,"3","male",25,"S",1
"77",0,"3","male",33,"S",1
"78",0,"3","male",24,"S",1
"79",1,"2","male",0.83,"S",3
"80",1,"3","female",30,"S",1
"81",0,"3","male",22,"S",1
"82",1,"3","male",29,"S",1
"83",1,"3","female",22,"Q",1
"84",0,"1","male",28,"S",1
"85",1,"2","female",17,"S",1
"86",1,"3","female",33,"S",4
"87",0,"3","male",16,"S",5
"88",0,"3","male",24,"S",1
"89",1,"1","female",23,"S",6
"90",0,"3","male",24,"S",1
"91",0,"3","male",29,"S",1
"92",0,"3","male",20,"S",1
"93",0,"1","male",46,"S",2
"94",0,"3","male",26,"S",4
"95",0,"3","male",59,"S",1
"96",0,"3","male",24,"S",1
"97",0,"1","male",71,"C",1
